TFT Id-Vg,OTFT Id-Vg
RecordTime,01/23/2019 21:58:44
Device ID,
Count,4
Flag,
Remarks,
Vgate,Vdrain,Idrain,IdrainPerWg,gm,gmPerWg
4,25,1.9777E-10,1.31846666666667E-12,-1.1785E-11,-7.85666666666667E-14
5,25,1.8856E-10,1.25706666666667E-12,-1.0084999999999998E-11,-6.7233333333333208E-14
6,25,1.776E-10,1.184E-12,-1.3214999999999998E-11,-8.8100000000000011E-14
7,25,1.6213000000000001E-10,1.08086666666667E-12,-1.56E-11,-1.0400000000000001E-13
8,25,1.464E-10,9.76E-13,-1.4215E-11,-9.47666666666666E-14
9,25,1.3370000000000001E-10,8.91333333333333E-13,-1.0889999999999999E-11,-7.26E-14
10,25,1.2462E-10,8.3080000000000005E-13,-1.2644999999999999E-11,-8.4299999999999992E-14
11,25,1.0841000000000002E-10,7.22733333333333E-13,-1.5495E-11,-1.033E-13
12,25,9.3629999999999991E-11,6.242E-13,-1.782E-11,-1.188E-13
13,25,7.277E-11,4.85133333333333E-13,-2.102E-11,-1.4013333333333302E-13
14,25,5.1589999999999993E-11,3.43933333333333E-13,-2.024E-11,-1.34933333333333E-13
15,25,3.229E-11,2.15266666666667E-13,-1.7195E-11,-1.1463333333333302E-13
16,25,1.72E-11,1.1466666666666702E-13,-1.6325E-11,-1.0883333333333301E-13
17,25,-3.6000000000000003E-13,-2.4E-15,-1.551E-11,-1.034E-13
18,25,-1.3819999999999999E-11,-9.21333333333333E-14,-7.69E-12,-5.12666666666667E-14
19,25,-1.574E-11,-1.04933333333333E-13,6.165E-12,4.11E-14
20,25,-1.49E-12,-9.9333333333333312E-15,1.1259999999999999E-10,7.50666666666666E-13
21,25,2.0946E-10,1.3964E-12,2.3198500000000003E-10,1.54656666666667E-12
22,25,4.6248E-10,3.0832E-12,3.1424500000000004E-10,2.0949666666666703E-12
23,25,8.3795000000000009E-10,5.5863333333333293E-12,4.7409999999999994E-10,3.1606666666666697E-12
24,25,1.41068E-09,9.40453333333333E-12,6.9094E-10,4.60626666666667E-12
25,25,2.21983E-09,1.4798866666666697E-11,9.89395E-10,6.59596666666667E-12
26,25,3.3894700000000003E-09,2.2596466666666696E-11,1.489545E-09,9.9303E-12
27,25,5.1989200000000009E-09,3.46594666666667E-11,2.1494650000000005E-09,1.4329766666666697E-11
28,25,7.6884000000000009E-09,5.1256000000000004E-11,3.20229E-09,2.1348600000000002E-11
29,25,1.16035E-08,7.7356666666666686E-11,4.7460000000000008E-09,3.164E-11
30,25,1.71804E-08,1.14536E-10,7.08735E-09,4.7248999999999996E-11
31,25,2.5778200000000002E-08,1.7185466666666702E-10,9.9534000000000016E-09,6.6356E-11
32,25,3.7087200000000004E-08,2.4724800000000003E-10,1.32425E-08,8.8283333333333284E-11
33,25,5.2263200000000007E-08,3.48421333333333E-10,1.757325E-08,1.1715500000000002E-10
34,25,7.2233700000000007E-08,4.81558E-10,2.29773E-08,1.53182E-10
35,25,9.82178E-08,6.54785333333333E-10,2.9392649999999998E-08,1.9595100000000001E-10
36,25,1.31019E-07,8.734600000000001E-10,3.6713100000000005E-08,2.44754E-10
37,25,1.71644E-07,1.1442933333333302E-09,4.252E-08,2.83466666666667E-10
38,25,2.16059E-07,1.4403933333333302E-09,4.89675E-08,3.2645E-10
39,25,2.69579E-07,1.7971933333333303E-09,5.6226500000000004E-08,3.7484333333333306E-10
