TFT Id-Vd,OTFT Id-Vd,,,,,,,,0,2.80E-13,0,-8.90E-12,0,-1.98E-11,0,-3.22E-11,0,-5.79E-11,0,-1.38E-10,0,-4.98E-10,0,-1.83E-09,0,-2.91E-09,0,-2.41E-09,0,-2.33E-09
5,0,9.75E-12,3.46E-12,2.89017E+11,,,,,12,6.78E-11,12,3.38E-11,12,2.91E-12,12,4.11E-11,12,8.97E-11,12,2.38E-10,12,5.22E-10,12,3.30E-09,12,1.96E-08,12,4.78E-08,12,8.48E-08
6,0,1.28E-11,5.42E-12,1.84672E+11,,,,,13,7.47E-11,13,4.71E-11,13,8.58E-12,13,4.17E-11,13,9.08E-11,13,2.61E-10,13,8.58E-10,13,4.61E-09,13,2.09E-08,13,5.17E-08,13,9.41E-08
7,0,2.06E-11,9.03E-12,1.10803E+11,,,,,14,8.41E-11,14,5.93E-11,14,1.40E-11,14,4.30E-11,14,8.99E-11,14,2.60E-10,14,1.14E-09,14,5.49E-09,14,2.19E-08,14,5.55E-08,14,1.01E-07
8,0,3.08E-11,9.94E-12,1.00604E+11,,,,,15,9.49E-11,15,7.56E-11,15,2.25E-11,15,4.28E-11,15,9.16E-11,15,2.61E-10,15,1.26E-09,15,6.13E-09,15,2.31E-08,15,5.87E-08,15,1.07E-07
9,0,4.05E-11,9.48E-12,1.05541E+11,,,,,16,1.03E-10,16,9.30E-11,16,3.27E-11,16,4.32E-11,16,9.36E-11,16,2.63E-10,16,1.27E-09,16,6.57E-09,16,2.40E-08,16,6.13E-08,16,1.13E-07
10,0,4.98E-11,9.60E-12,1.04221E+11,,,,,17,1.11E-10,17,1.06E-10,17,4.68E-11,17,4.53E-11,17,9.17E-11,17,2.61E-10,17,1.27E-09,17,6.87E-09,17,2.39E-08,17,6.23E-08,17,1.18E-07
11,0,5.97E-11,9.04E-12,1.10681E+11,,,,,18,1.24E-10,18,1.20E-10,18,6.14E-11,18,4.66E-11,18,9.35E-11,18,2.62E-10,18,1.25E-09,18,7.01E-09,18,2.39E-08,18,6.59E-08,18,1.23E-07
12,0,6.78E-11,7.53E-12,1.32802E+11,,,,,19,1.35E-10,19,1.37E-10,19,7.45E-11,19,4.64E-11,19,9.46E-11,19,2.65E-10,19,1.25E-09,19,6.95E-09,19,2.38E-08,19,6.61E-08,19,1.25E-07
13,0,7.47E-11,8.15E-12,1.22699E+11,,,,,20,1.45E-10,20,1.49E-10,20,9.19E-11,20,5.13E-11,20,9.66E-11,20,2.64E-10,20,1.24E-09,20,7.04E-09,20,2.45E-08,20,6.59E-08,20,1.28E-07
14,0,8.41E-11,1.01E-11,99255583127,,,,,21,1.60E-10,21,1.60E-10,21,1.08E-10,21,5.38E-11,21,9.56E-11,21,2.68E-10,21,1.26E-09,21,7.00E-09,21,2.36E-08,21,6.61E-08,21,1.33E-07
15,0,9.49E-11,9.47E-12,1.05597E+11,,,,,22,1.73E-10,22,1.75E-10,22,1.21E-10,22,5.99E-11,22,9.64E-11,22,2.67E-10,22,1.32E-09,22,6.92E-09,22,2.34E-08,22,6.60E-08,22,1.34E-07
16,0,1.03E-10,7.96E-12,1.25628E+11,,,,,23,1.88E-10,23,1.86E-10,23,1.36E-10,23,7.14E-11,23,9.89E-11,23,2.70E-10,23,1.28E-09,23,6.91E-09,23,2.39E-08,23,6.55E-08,23,1.35E-07
17,0,1.11E-10,1.05E-11,95328884652,,,,,24,2.04E-10,24,1.98E-10,24,1.50E-10,24,8.38E-11,24,9.84E-11,24,2.66E-10,24,1.27E-09,24,7.03E-09,24,2.38E-08,24,6.53E-08,24,1.36E-07
18,0,1.24E-10,1.21E-11,82440230833,,,,,25,2.23E-10,25,2.11E-10,25,1.62E-10,25,9.68E-11,25,9.88E-11,25,2.66E-10,25,1.29E-09,25,7.02E-09,25,2.39E-08,25,6.81E-08,25,1.37E-07
